source_state,target_state,weight
Alabama,Alabama,0.9770430769877094
Alabama,Alaska,0.00010598945857709858
Alabama,Arizona,0.0007266810319525035
Alabama,Arkansas,0.00021089629598600276
Alabama,California,0.0022527924145330064
Alabama,Colorado,0.001044523116558169
Alabama,Connecticut,0.0001524186781128641
Alabama,Delaware,3.5053941767302914e-05
Alabama,Florida,0.0034980163243942216
Alabama,Georgia,0.00012825475575332226
Alabama,Hawaii,0.00017092876545734043
Alabama,Idaho,6.424994159668001e-05
Alabama,Illinois,0.00024771213754687296
Alabama,Indiana,0.00039701942824126897
Alabama,Iowa,0.0002002837772627792
Alabama,Kansas,0.0003278654674935183
Alabama,Kentucky,0.00011367027687718999
Alabama,Louisiana,0.00019595444680953268
Alabama,Maine,9.408899015964504e-05
Alabama,Maryland,0.0015900496355766185
Alabama,Massachusetts,1.3440282145244096e-09
Alabama,Michigan,0.00015983409167949153
Alabama,Minnesota,0.0003543604362944481
Alabama,Mississippi,2.94012377317271e-05
Alabama,Missouri,0.00010448505508876416
Alabama,Montana,4.516831247131555e-05
Alabama,Nebraska,8.238445803964677e-07
Alabama,Nevada,0.0006820337918463452
Alabama,New_Hampshire,5.8249488809449506e-12
Alabama,New_Jersey,9.156330271513953e-06
Alabama,New_Mexico,0.00015189395075672205
Alabama,New_York,0.0011329806996557346
Alabama,North_Carolina,0.0006753209511790009
Alabama,North_Dakota,1.0520534838219166e-05
Alabama,Ohio,0.0010178365282391307
Alabama,Oklahoma,0.0002757712184787146
Alabama,Oregon,0.0001376328450159906
Alabama,Pennsylvania,6.134942248901579e-06
Alabama,Rhode_Island,1.1235934635506685e-10
Alabama,South_Carolina,0.0004820220430526994
Alabama,South_Dakota,3.0528955149132736e-11
Alabama,Tennessee,6.902209225125753e-10
Alabama,Texas,0.004192048715330363
Alabama,Utah,0.00033606565999947004
Alabama,Vermont,2.4861615743056987e-05
Alabama,Virginia,0.0007229413136389541
Alabama,Washington,0.0004298403736698388
Alabama,West_Virginia,3.8519194621699814e-05
Alabama,Wisconsin,0.0002867980871747094
Alabama,Wyoming,1.608341252970329e-06
Alaska,Alabama,0.00042158237183390415
Alaska,Alaska,7.771561172376097e-16
Alaska,Arizona,0.004311918919974775
Alaska,Arkansas,0.0001485193957816314
Alaska,California,0.06250057160164325
Alaska,Colorado,0.0044019184148245145
Alaska,Connecticut,0.00029374760091113207
Alaska,Delaware,7.737278275339299e-05
Alaska,Florida,0.0036689872003407478
Alaska,Georgia,6.0927457698086484e-05
Alaska,Hawaii,0.0042641319582517705
Alaska,Idaho,0.00262108393321734
Alaska,Illinois,0.0003007444236145021
Alaska,Indiana,0.000701710011138449
Alaska,Iowa,0.000375079946129216
Alaska,Kansas,0.0004919657294554201
Alaska,Kentucky,6.899981043965917e-05
Alaska,Louisiana,0.0005292391239135415
Alaska,Maine,8.107505427333979e-05
Alaska,Maryland,0.002225294438947626
Alaska,Massachusetts,5.0071871886820476e-08
Alaska,Michigan,0.00030538147661467304
Alaska,Minnesota,0.003435727159436514
Alaska,Mississippi,4.219303497739623e-05
Alaska,Missouri,6.357644424360424e-05
Alaska,Montana,0.000708377652157412
Alaska,Nebraska,3.631083738059472e-06
Alaska,Nevada,0.004251720179589521
Alaska,New_Hampshire,1.2931733280189672e-11
Alaska,New_Jersey,5.704062409121636e-07
Alaska,New_Mexico,0.0004793914222543759
Alaska,New_York,0.0025326077667659976
Alaska,North_Carolina,0.0007923395984761907
Alaska,North_Dakota,5.868336159015378e-05
Alaska,Ohio,0.0010207674352361393
Alaska,Oklahoma,0.0003146641851946329
Alaska,Oregon,0.012282498547986609
Alaska,Pennsylvania,3.7938387514486404e-06
Alaska,Rhode_Island,8.995808489474989e-11
Alaska,South_Carolina,0.0002359854637814304
Alaska,South_Dakota,5.011157913916882e-10
Alaska,Tennessee,8.613621238933499e-09
Alaska,Texas,0.005071587309042453
Alaska,Utah,0.00425953659059839
Alaska,Vermont,2.9720461265905334e-05
Alaska,Virginia,0.0005486687282572983
Alaska,Washington,0.8747722549083781
Alaska,West_Virginia,1.6095925693374612e-05
Alaska,Wisconsin,0.0010354223563287584
Alaska,Wyoming,3.300336278321968e-05
Arizona,Alabama,0.00031475937861615504
Arizona,Alaska,0.00020243365355245206
Arizona,Arizona,0.945095325308946
Arizona,Arkansas,0.00015028071181015181
Arizona,California,0.013992874288233795
Arizona,Colorado,0.0038919943365695398
Arizona,Connecticut,0.00014666265313238936
Arizona,Delaware,6.660401048592703e-05
Arizona,Florida,0.0026627893130580995
Arizona,Georgia,9.129952603091306e-05
Arizona,Hawaii,0.0007519866248065528
Arizona,Idaho,0.0005459693463166607
Arizona,Illinois,0.00038413487233691365
Arizona,Indiana,0.000916435914079586
Arizona,Iowa,0.0007440614917063023
Arizona,Kansas,0.0006456950226258835
Arizona,Kentucky,8.299231994802762e-05
Arizona,Louisiana,0.0003848581257972068
Arizona,Maine,9.675925113011745e-05
Arizona,Maryland,0.0013315208977300972
Arizona,Massachusetts,1.0739505988750614e-09
Arizona,Michigan,0.00030857752534041704
Arizona,Minnesota,0.001984764408888643
Arizona,Mississippi,3.2576510800185794e-05
Arizona,Missouri,0.00010376258931540676
Arizona,Montana,0.0002908576616101574
Arizona,Nebraska,6.475431537061065e-05
Arizona,Nevada,0.0063712293289280965
Arizona,New_Hampshire,1.7021689683208722e-12
Arizona,New_Jersey,3.65848550282388e-06
Arizona,New_Mexico,0.000719341147121071
Arizona,New_York,0.0019776211231003287
Arizona,North_Carolina,0.0006054670671910968
Arizona,North_Dakota,0.00016184276087036897
Arizona,Ohio,0.001416393675642338
Arizona,Oklahoma,0.00029326692241306366
Arizona,Oregon,0.0012850766966507425
Arizona,Pennsylvania,1.3931552265121264e-05
Arizona,Rhode_Island,3.486469895784749e-11
Arizona,South_Carolina,0.000203783619055832
Arizona,South_Dakota,3.398211455611868e-11
Arizona,Tennessee,5.740012011054872e-10
Arizona,Texas,0.005351977946066382
Arizona,Utah,0.0018030498310371468
Arizona,Vermont,3.6239805181833984e-05
Arizona,Virginia,0.00040843483546553416
Arizona,Washington,0.003007277183875432
Arizona,West_Virginia,1.7108635255979547e-05
Arizona,Wisconsin,0.0009038447888769633
Arizona,Wyoming,2.405947556524201e-05
Arkansas,Alabama,0.0002402216780701812
Arkansas,Alaska,5.480658701170475e-05
Arkansas,Arizona,0.000537796147250062
Arkansas,Arkansas,0.9802857177091286
Arkansas,California,0.0022619019163721736
Arkansas,Colorado,0.001084438797196507
Arkansas,Connecticut,8.488506612790912e-05
Arkansas,Delaware,2.1685035628638183e-05
Arkansas,Florida,0.0025733929949310896
Arkansas,Georgia,8.660334580074211e-05
Arkansas,Hawaii,0.00015978886779735192
Arkansas,Idaho,6.215989653403021e-05
Arkansas,Illinois,0.00014431974384760126
Arkansas,Indiana,0.00035309363751189133
Arkansas,Iowa,0.00013448741588191593
Arkansas,Kansas,0.00012121048343809343
Arkansas,Kentucky,8.045068657808378e-05
Arkansas,Louisiana,0.0003713394867680312
Arkansas,Maine,5.981830866203181e-05
Arkansas,Maryland,0.0007267679482273725
Arkansas,Massachusetts,5.217250307625536e-10
Arkansas,Michigan,0.00014130112261652051
Arkansas,Minnesota,0.0004119273154272462
Arkansas,Mississippi,3.2256386012638524e-05
Arkansas,Missouri,2.1062172816262451e-07
Arkansas,Montana,4.014833494811516e-05
Arkansas,Nebraska,3.1916741133888507e-06
Arkansas,Nevada,0.0009736346897078576
Arkansas,New_Hampshire,4.261367775221467e-12
Arkansas,New_Jersey,3.023435923465351e-06
Arkansas,New_Mexico,9.442495621657618e-05
